name_slug,twok_year,Rating,Team,Height,Wingspan
dennis-schroder,NBA 2K24,77,"Brooklyn Nets, Toronto Raptors","6'1"" (185cm)","6'8"" (203cm)"
dennis-schroder,NBA 2K23,77,Los Angeles Lakers,"6'1"" (185cm)","6'8"" (203cm)"
dennis-schroder,NBA 2K22,76,"Boston Celtics, Houston Rockets","6'1"" (185cm)","6'8"" (203cm)"
dennis-schroder,NBA 2K21,78,Los Angeles Lakers,"6'1"" (185cm)","6'8"" (203cm)"
dennis-schroder,NBA 2K20,81,Oklahoma City Thunder,"6'1"" (185cm)","6'8"" (203cm)"
dennis-schroder,NBA 2K19,77,Oklahoma City Thunder,"6'1"" (185cm)","6'8"" (203cm)"
dennis-schroder,NBA 2K18,81,Atlanta Hawks,"6'1"" (185cm)","6'8"" (203cm)"
dennis-schroder,NBA 2K17,81,Atlanta Hawks,"6'1"" (185cm)","6'8"" (203cm)"
dennis-schroder,NBA 2K16,79,Atlanta Hawks,"6'1"" (185cm)","6'8"" (203cm)"
dennis-schroder,NBA 2K15,75,Atlanta Hawks,"6'1"" (185cm)","6'8"" (203cm)"
dennis-schroder,NBA 2K14,69,Atlanta Hawks,"6'1"" (185cm)","6'8"" (203cm)"
dorian-finney-smith,NBA 2K25,76,"Brooklyn Nets, Los Angeles Lakers","6'7"" (201cm)","7'0"" (213cm)"
dorian-finney-smith,NBA 2K24,77,Brooklyn Nets,"6'7"" (201cm)","7'0"" (213cm)"
dorian-finney-smith,NBA 2K23,78,"Brooklyn Nets, Dallas Mavericks","6'7"" (201cm)","7'0"" (213cm)"
dorian-finney-smith,NBA 2K22,78,Dallas Mavericks,"6'7"" (201cm)","7'0"" (213cm)"
dorian-finney-smith,NBA 2K21,75,Dallas Mavericks,"6'7"" (201cm)","7'0"" (213cm)"
dorian-finney-smith,NBA 2K20,76,Dallas Mavericks,"6'7"" (201cm)","7'0"" (213cm)"
dorian-finney-smith,NBA 2K19,72,Dallas Mavericks,"6'7"" (201cm)","7'0"" (213cm)"
dorian-finney-smith,NBA 2K18,72,Dallas Mavericks,"6'7"" (201cm)","7'0"" (213cm)"
dorian-finney-smith,NBA 2K17,72,Dallas Mavericks,"6'7"" (201cm)","7'0"" (213cm)"
cameron-johnson,NBA 2K25,84,Brooklyn Nets,"6'8"" (203cm)","6'10"" (208cm)"
cameron-johnson,NBA 2K24,81,Brooklyn Nets,"6'8"" (203cm)","6'10"" (208cm)"
cameron-johnson,NBA 2K23,80,"Brooklyn Nets, Phoenix Suns","6'8"" (203cm)","6'10"" (208cm)"
cameron-johnson,NBA 2K22,81,Phoenix Suns,"6'8"" (203cm)","6'10"" (208cm)"
cameron-johnson,NBA 2K21,77,Phoenix Suns,"6'8"" (203cm)","6'10"" (208cm)"
cameron-johnson,NBA 2K20,73,Phoenix Suns,"6'8"" (203cm)","6'10"" (208cm)"
royce-oneale,NBA 2K25,77,Phoenix Suns,"6'6"" (198cm)","6'10"" (208cm)"
royce-oneale,NBA 2K24,76,"Brooklyn Nets, Phoenix Suns","6'6"" (198cm)","6'10"" (208cm)"
royce-oneale,NBA 2K23,74,Brooklyn Nets,"6'6"" (198cm)","6'10"" (208cm)"
royce-oneale,NBA 2K22,74,Utah Jazz,"6'6"" (198cm)","6'10"" (208cm)"
royce-oneale,NBA 2K21,73,Utah Jazz,"6'6"" (198cm)","6'10"" (208cm)"
royce-oneale,NBA 2K20,73,Utah Jazz,"6'6"" (198cm)","6'10"" (208cm)"
royce-oneale,NBA 2K19,73,Utah Jazz,"6'6"" (198cm)","6'10"" (208cm)"
royce-oneale,NBA 2K18,74,Utah Jazz,"6'6"" (198cm)","6'10"" (208cm)"
dennis-smith-jr,NBA 2K25,73,Free Agent,"6'3"" (191cm)","6'3"" (191cm)"
dennis-smith-jr,NBA 2K24,73,Brooklyn Nets,"6'3"" (191cm)","6'3"" (191cm)"
dennis-smith-jr,NBA 2K23,75,Charlotte Hornets,"6'3"" (191cm)","6'3"" (191cm)"
dennis-smith-jr,NBA 2K22,76,Portland Trail Blazers,"6'3"" (191cm)","6'3"" (191cm)"
dennis-smith-jr,NBA 2K21,77,"Detroit Pistons, New York Knicks","6'3"" (191cm)","6'3"" (191cm)"
dennis-smith-jr,NBA 2K20,72,New York Knicks,"6'3"" (191cm)","6'3"" (191cm)"
dennis-smith-jr,NBA 2K19,77,"Dallas Mavericks, New York Knicks","6'3"" (191cm)","6'3"" (191cm)"
dennis-smith-jr,NBA 2K18,77,Dallas Mavericks,"6'3"" (191cm)","6'3"" (191cm)"
lonnie-walker-iv,NBA 2K25,74,Philadelphia 76ers,"6'4"" (193cm)","6'11"" (211cm)"
lonnie-walker-iv,NBA 2K24,76,Brooklyn Nets,"6'4"" (193cm)","6'11"" (211cm)"
lonnie-walker-iv,NBA 2K23,75,Los Angeles Lakers,"6'4"" (193cm)","6'11"" (211cm)"
lonnie-walker-iv,NBA 2K22,76,San Antonio Spurs,"6'4"" (193cm)","6'11"" (211cm)"
lonnie-walker-iv,NBA 2K21,76,San Antonio Spurs,"6'4"" (193cm)","6'11"" (211cm)"
lonnie-walker-iv,NBA 2K20,73,San Antonio Spurs,"6'4"" (193cm)","6'11"" (211cm)"
lonnie-walker-iv,NBA 2K19,73,San Antonio Spurs,"6'4"" (193cm)","6'11"" (211cm)"
trendon-watford,NBA 2K25,76,Brooklyn Nets,"6'8"" (203cm)","7'2"" (218cm)"
trendon-watford,NBA 2K24,76,Brooklyn Nets,"6'8"" (203cm)","7'2"" (218cm)"
trendon-watford,NBA 2K23,74,Portland Trail Blazers,"6'8"" (203cm)","7'2"" (218cm)"
trendon-watford,NBA 2K22,76,Portland Trail Blazers,"6'8"" (203cm)","7'2"" (218cm)"
keon-johnson,NBA 2K25,76,Brooklyn Nets,"6'3"" (191cm)","6'7"" (201cm)"
keon-johnson,NBA 2K24,70,Brooklyn Nets,"6'3"" (191cm)","6'7"" (201cm)"
keon-johnson,NBA 2K23,71,Portland Trail Blazers,"6'3"" (191cm)","6'7"" (201cm)"
keon-johnson,NBA 2K22,72,Los Angeles Clippers,"6'3"" (191cm)","6'7"" (201cm)"
jacob-gilyard,NBA 2K25,71,Free Agent,"5'8"" (173cm)","5'10"" (178cm)"
jacob-gilyard,NBA 2K24,69,"Brooklyn Nets, Memphis Grizzlies","5'8"" (173cm)","5'10"" (178cm)"
jacob-gilyard,NBA 2K23,69,Memphis Grizzlies,"5'8"" (173cm)","5'10"" (178cm)"
armoni-brooks,NBA 2K25,69,Free Agent,"6'3"" (191cm)","6'9"" (206cm)"
armoni-brooks,NBA 2K24,69,Free Agent,"6'3"" (191cm)","6'9"" (206cm)"
armoni-brooks,NBA 2K23,71,Toronto Raptors,"6'3"" (191cm)","6'9"" (206cm)"
armoni-brooks,NBA 2K22,73,Houston Rockets,"6'3"" (191cm)","6'9"" (206cm)"
armoni-brooks,NBA 2K21,69,Houston Rockets,"6'3"" (191cm)","6'9"" (206cm)"
harry-giles,NBA 2K25,69,Free Agent,"6'10"" (208cm)","7'3"" (221cm)"
harry-giles,NBA 2K24,70,"Brooklyn Nets, Los Angeles Lakers","6'10"" (208cm)","7'3"" (221cm)"
harry-giles,NBA 2K23,71,Free Agent,"6'10"" (208cm)","7'3"" (221cm)"
harry-giles,NBA 2K22,71,Free Agent,"6'10"" (208cm)","7'3"" (221cm)"
harry-giles,NBA 2K21,73,Portland Trail Blazers,"6'10"" (208cm)","7'3"" (221cm)"
harry-giles,NBA 2K20,77,Sacramento Kings,"6'10"" (208cm)","7'3"" (221cm)"
harry-giles,NBA 2K19,74,Sacramento Kings,"6'10"" (208cm)","7'3"" (221cm)"
harry-giles,NBA 2K18,70,Sacramento Kings,"6'10"" (208cm)","7'3"" (221cm)"
keita-bates-diop,NBA 2K25,72,Free Agent,"6'8"" (203cm)","7'3"" (221cm)"
keita-bates-diop,NBA 2K24,75,"Brooklyn Nets, Phoenix Suns","6'8"" (203cm)","7'3"" (221cm)"
keita-bates-diop,NBA 2K23,74,San Antonio Spurs,"6'8"" (203cm)","7'3"" (221cm)"
keita-bates-diop,NBA 2K22,75,San Antonio Spurs,"6'8"" (203cm)","7'3"" (221cm)"
keita-bates-diop,NBA 2K21,72,San Antonio Spurs,"6'8"" (203cm)","7'3"" (221cm)"
keita-bates-diop,NBA 2K20,72,"Denver Nuggets, Minnesota Timberwolves","6'8"" (203cm)","7'3"" (221cm)"
keita-bates-diop,NBA 2K19,69,Minnesota Timberwolves,"6'8"" (203cm)","7'3"" (221cm)"
dejounte-murray,NBA 2K25,84,New Orleans Pelicans,"6'5"" (196cm)","6'10"" (208cm)"
dejounte-murray,NBA 2K24,84,Atlanta Hawks,"6'5"" (196cm)","6'10"" (208cm)"
dejounte-murray,NBA 2K23,85,Atlanta Hawks,"6'5"" (196cm)","6'10"" (208cm)"
dejounte-murray,NBA 2K22,87,San Antonio Spurs,"6'5"" (196cm)","6'10"" (208cm)"
dejounte-murray,NBA 2K21,82,San Antonio Spurs,"6'5"" (196cm)","6'10"" (208cm)"
dejounte-murray,NBA 2K20,81,San Antonio Spurs,"6'5"" (196cm)","6'10"" (208cm)"
dejounte-murray,NBA 2K19,75,San Antonio Spurs,"6'5"" (196cm)","6'10"" (208cm)"
dejounte-murray,NBA 2K18,72,San Antonio Spurs,"6'5"" (196cm)","6'10"" (208cm)"
dejounte-murray,NBA 2K17,70,San Antonio Spurs,"6'5"" (196cm)","6'10"" (208cm)"
deandre-hunter,NBA 2K25,82,"Atlanta Hawks, Cleveland Cavaliers","6'8"" (203cm)","7'2"" (218cm)"
deandre-hunter,NBA 2K24,80,Atlanta Hawks,"6'8"" (203cm)","7'2"" (218cm)"
deandre-hunter,NBA 2K23,77,Atlanta Hawks,"6'8"" (203cm)","7'2"" (218cm)"
deandre-hunter,NBA 2K22,78,Atlanta Hawks,"6'8"" (203cm)","7'2"" (218cm)"
deandre-hunter,NBA 2K21,81,Atlanta Hawks,"6'8"" (203cm)","7'2"" (218cm)"
deandre-hunter,NBA 2K20,75,Atlanta Hawks,"6'8"" (203cm)","7'2"" (218cm)"
john-collins,NBA 2K25,85,Utah Jazz,"6'9"" (206cm)","6'11"" (211cm)"
john-collins,NBA 2K24,80,Utah Jazz,"6'9"" (206cm)","6'11"" (211cm)"
john-collins,NBA 2K23,83,Atlanta Hawks,"6'9"" (206cm)","6'11"" (211cm)"
john-collins,NBA 2K22,83,Atlanta Hawks,"6'9"" (206cm)","6'11"" (211cm)"
john-collins,NBA 2K21,85,Atlanta Hawks,"6'9"" (206cm)","6'11"" (211cm)"
john-collins,NBA 2K20,86,Atlanta Hawks,"6'9"" (206cm)","6'11"" (211cm)"
john-collins,NBA 2K19,84,Atlanta Hawks,"6'9"" (206cm)","6'11"" (211cm)"
john-collins,NBA 2K18,78,Atlanta Hawks,"6'9"" (206cm)","6'11"" (211cm)"
bogdan-bogdanovic,NBA 2K25,78,"Atlanta Hawks, Los Angeles Clippers","6'5"" (196cm)","6'11"" (211cm)"
bogdan-bogdanovic,NBA 2K24,79,Atlanta Hawks,"6'5"" (196cm)","6'11"" (211cm)"
bogdan-bogdanovic,NBA 2K23,80,Atlanta Hawks,"6'5"" (196cm)","6'11"" (211cm)"
bogdan-bogdanovic,NBA 2K22,80,Atlanta Hawks,"6'5"" (196cm)","6'11"" (211cm)"
bogdan-bogdanovic,NBA 2K21,81,Atlanta Hawks,"6'5"" (196cm)","6'11"" (211cm)"
bogdan-bogdanovic,NBA 2K20,79,Sacramento Kings,"6'5"" (196cm)","6'11"" (211cm)"
bogdan-bogdanovic,NBA 2K19,78,Sacramento Kings,"6'5"" (196cm)","6'11"" (211cm)"
bogdan-bogdanovic,NBA 2K18,77,Sacramento Kings,"6'5"" (196cm)","6'11"" (211cm)"
clint-capela,NBA 2K25,80,Atlanta Hawks,"6'10"" (208cm)","7'5"" (226cm)"
clint-capela,NBA 2K24,82,Atlanta Hawks,"6'10"" (208cm)","7'5"" (226cm)"
clint-capela,NBA 2K23,84,Atlanta Hawks,"6'10"" (208cm)","7'5"" (226cm)"
clint-capela,NBA 2K22,85,Atlanta Hawks,"6'10"" (208cm)","7'5"" (226cm)"
clint-capela,NBA 2K21,86,Atlanta Hawks,"6'10"" (208cm)","7'5"" (226cm)"
clint-capela,NBA 2K20,86,Houston Rockets,"6'10"" (208cm)","7'5"" (226cm)"
clint-capela,NBA 2K19,87,Houston Rockets,"6'10"" (208cm)","7'5"" (226cm)"
clint-capela,NBA 2K18,86,Houston Rockets,"6'10"" (208cm)","7'5"" (226cm)"
clint-capela,NBA 2K17,79,Houston Rockets,"6'10"" (208cm)","7'5"" (226cm)"
clint-capela,NBA 2K16,75,Houston Rockets,"6'10"" (208cm)","7'5"" (226cm)"
clint-capela,NBA 2K15,65,Houston Rockets,"6'10"" (208cm)","7'5"" (226cm)"
aj-griffin,NBA 2K25,72,Free Agent,"6'6"" (198cm)","7'0"" (213cm)"
aj-griffin,NBA 2K24,76,Atlanta Hawks,"6'6"" (198cm)","7'0"" (213cm)"
aj-griffin,NBA 2K23,73,Atlanta Hawks,"6'6"" (198cm)","7'0"" (213cm)"
justin-holiday,NBA 2K25,73,Free Agent,"6'6"" (198cm)","7'0"" (213cm)"
justin-holiday,NBA 2K24,73,Denver Nuggets,"6'6"" (198cm)","7'0"" (213cm)"
justin-holiday,NBA 2K23,72,"Atlanta Hawks, Dallas Mavericks","6'6"" (198cm)","7'0"" (213cm)"
justin-holiday,NBA 2K22,73,"Indiana Pacers, Sacramento Kings","6'6"" (198cm)","7'0"" (213cm)"
justin-holiday,NBA 2K21,73,Indiana Pacers,"6'6"" (198cm)","7'0"" (213cm)"
justin-holiday,NBA 2K20,76,Indiana Pacers,"6'6"" (198cm)","7'0"" (213cm)"
justin-holiday,NBA 2K19,74,"Chicago Bulls, Memphis Grizzlies","6'6"" (198cm)","7'0"" (213cm)"
justin-holiday,NBA 2K18,74,Chicago Bulls,"6'6"" (198cm)","7'0"" (213cm)"
justin-holiday,NBA 2K17,72,New York Knicks,"6'6"" (198cm)","7'0"" (213cm)"
justin-holiday,NBA 2K16,72,"Atlanta Hawks, Chicago Bulls","6'6"" (198cm)","7'0"" (213cm)"
justin-holiday,NBA 2K15,60,Golden State Warriors,"6'6"" (198cm)","7'0"" (213cm)"
saddiq-bey,NBA 2K25,77,Washington Wizards,"6'7"" (201cm)","6'11"" (211cm)"
saddiq-bey,NBA 2K24,78,Atlanta Hawks,"6'7"" (201cm)","6'11"" (211cm)"
saddiq-bey,NBA 2K23,80,"Atlanta Hawks, Detroit Pistons","6'7"" (201cm)","6'11"" (211cm)"
saddiq-bey,NBA 2K22,81,Detroit Pistons,"6'7"" (201cm)","6'11"" (211cm)"
saddiq-bey,NBA 2K21,79,Detroit Pistons,"6'7"" (201cm)","6'11"" (211cm)"
aaron-holiday,NBA 2K25,74,Houston Rockets,"6'0"" (183cm)","6'8"" (203cm)"
aaron-holiday,NBA 2K24,73,Houston Rockets,"6'0"" (183cm)","6'8"" (203cm)"
aaron-holiday,NBA 2K23,73,Atlanta Hawks,"6'0"" (183cm)","6'8"" (203cm)"
aaron-holiday,NBA 2K22,76,"Phoenix Suns, Washington Wizards","6'0"" (183cm)","6'8"" (203cm)"
aaron-holiday,NBA 2K21,73,Indiana Pacers,"6'0"" (183cm)","6'8"" (203cm)"
aaron-holiday,NBA 2K20,75,Indiana Pacers,"6'0"" (183cm)","6'8"" (203cm)"
aaron-holiday,NBA 2K19,73,Indiana Pacers,"6'0"" (183cm)","6'8"" (203cm)"
trent-forrest,NBA 2K25,69,Free Agent,"6'4"" (193cm)","6'8"" (203cm)"
trent-forrest,NBA 2K24,70,Atlanta Hawks,"6'4"" (193cm)","6'8"" (203cm)"
trent-forrest,NBA 2K23,71,Atlanta Hawks,"6'4"" (193cm)","6'8"" (203cm)"
trent-forrest,NBA 2K22,71,Utah Jazz,"6'4"" (193cm)","6'8"" (203cm)"
trent-forrest,NBA 2K21,69,Utah Jazz,"6'4"" (193cm)","6'8"" (203cm)"
garrison-mathews,NBA 2K25,74,Atlanta Hawks,"6'6"" (198cm)","6'9"" (206cm)"
garrison-mathews,NBA 2K24,70,Atlanta Hawks,"6'6"" (198cm)","6'9"" (206cm)"
garrison-mathews,NBA 2K23,73,"Atlanta Hawks, Houston Rockets","6'6"" (198cm)","6'9"" (206cm)"
garrison-mathews,NBA 2K22,74,Houston Rockets,"6'6"" (198cm)","6'9"" (206cm)"
garrison-mathews,NBA 2K21,72,Washington Wizards,"6'6"" (198cm)","6'9"" (206cm)"
garrison-mathews,NBA 2K20,72,Washington Wizards,"6'6"" (198cm)","6'9"" (206cm)"
vit-krejci,NBA 2K25,75,Atlanta Hawks,"6'8"" (203cm)","7'0"" (213cm)"
vit-krejci,NBA 2K24,70,Atlanta Hawks,"6'8"" (203cm)","7'0"" (213cm)"
vit-krejci,NBA 2K23,70,Atlanta Hawks,"6'8"" (203cm)","7'0"" (213cm)"
vit-krejci,NBA 2K22,70,Oklahoma City Thunder,"6'8"" (203cm)","7'0"" (213cm)"
bruno-fernando,NBA 2K25,71,Free Agent,"6'9"" (206cm)","7'3"" (221cm)"
bruno-fernando,NBA 2K24,74,Atlanta Hawks,"6'9"" (206cm)","7'3"" (221cm)"
bruno-fernando,NBA 2K23,72,"Atlanta Hawks, Houston Rockets","6'9"" (206cm)","7'3"" (221cm)"
bruno-fernando,NBA 2K22,73,"Boston Celtics, Houston Rockets","6'9"" (206cm)","7'3"" (221cm)"
bruno-fernando,NBA 2K21,72,Atlanta Hawks,"6'9"" (206cm)","7'3"" (221cm)"
bruno-fernando,NBA 2K20,75,Atlanta Hawks,"6'9"" (206cm)","7'3"" (221cm)"
tyrese-martin,NBA 2K25,74,Brooklyn Nets,"6'6"" (198cm)","6'10"" (208cm)"
tyrese-martin,NBA 2K24,69,Minnesota Timberwolves,"6'6"" (198cm)","6'10"" (208cm)"
tyrese-martin,NBA 2K23,69,Atlanta Hawks,"6'6"" (198cm)","6'10"" (208cm)"
dylan-windler,NBA 2K25,70,Free Agent,"6'7"" (201cm)","6'10"" (208cm)"
dylan-windler,NBA 2K24,71,"Atlanta Hawks, Los Angeles Lakers, New York Knicks","6'7"" (201cm)","6'10"" (208cm)"
dylan-windler,NBA 2K23,71,Cleveland Cavaliers,"6'7"" (201cm)","6'10"" (208cm)"
dylan-windler,NBA 2K22,73,Cleveland Cavaliers,"6'7"" (201cm)","6'10"" (208cm)"
dylan-windler,NBA 2K21,73,Cleveland Cavaliers,"6'7"" (201cm)","6'10"" (208cm)"
wesley-matthews,NBA 2K25,72,Free Agent,"6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K24,72,Atlanta Hawks,"6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K23,72,Milwaukee Bucks,"6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K22,71,Milwaukee Bucks,"6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K21,73,Los Angeles Lakers,"6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K20,75,Milwaukee Bucks,"6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K19,76,"Dallas Mavericks, Indiana Pacers, New York Knicks","6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K18,77,Dallas Mavericks,"6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K17,76,Dallas Mavericks,"6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K16,78,Dallas Mavericks,"6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K15,78,Portland Trail Blazers,"6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K14,77,Portland Trail Blazers,"6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K13,77,Portland Trail Blazers,"6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K12,74,Portland Trail Blazers,"6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K11,77,Portland Trail Blazers,"6'5"" (196cm)","6'9"" (206cm)"
wesley-matthews,NBA 2K10,67,Utah Jazz,"6'5"" (196cm)","6'9"" (206cm)"
patty-mills,NBA 2K25,71,"Los Angeles Clippers, Utah Jazz","6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K24,73,"Atlanta Hawks, Miami Heat","6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K23,72,Brooklyn Nets,"6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K22,73,Brooklyn Nets,"6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K21,75,San Antonio Spurs,"6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K20,78,San Antonio Spurs,"6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K19,75,San Antonio Spurs,"6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K18,76,San Antonio Spurs,"6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K17,76,San Antonio Spurs,"6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K16,75,San Antonio Spurs,"6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K15,75,San Antonio Spurs,"6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K14,70,San Antonio Spurs,"6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K13,78,San Antonio Spurs,"6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K12,79,San Antonio Spurs,"6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K11,72,Portland Trail Blazers,"6'2"" (188cm)","6'2"" (188cm)"
patty-mills,NBA 2K10,66,Portland Trail Blazers,"6'2"" (188cm)","6'2"" (188cm)"
seth-lundy,NBA 2K25,68,Free Agent,"6'4"" (193cm)","6'10"" (208cm)"
seth-lundy,NBA 2K24,68,Atlanta Hawks,"6'4"" (193cm)","6'10"" (208cm)"
kyrie-irving,NBA 2K25,92,Dallas Mavericks,"6'2"" (188cm)","6'4"" (193cm)"
kyrie-irving,NBA 2K24,90,Dallas Mavericks,"6'2"" (188cm)","6'4"" (193cm)"
kyrie-irving,NBA 2K23,89,"Brooklyn Nets, Dallas Mavericks","6'2"" (188cm)","6'4"" (193cm)"
kyrie-irving,NBA 2K22,91,Brooklyn Nets,"6'2"" (188cm)","6'4"" (193cm)"
kyrie-irving,NBA 2K21,90,Brooklyn Nets,"6'2"" (188cm)","6'4"" (193cm)"
kyrie-irving,NBA 2K20,91,Brooklyn Nets,"6'2"" (188cm)","6'4"" (193cm)"
kyrie-irving,NBA 2K19,93,Boston Celtics,"6'2"" (188cm)","6'4"" (193cm)"
kyrie-irving,NBA 2K18,90,Boston Celtics,"6'2"" (188cm)","6'4"" (193cm)"
kyrie-irving,NBA 2K17,89,Cleveland Cavaliers,"6'2"" (188cm)","6'4"" (193cm)"
kyrie-irving,NBA 2K16,87,Cleveland Cavaliers,"6'2"" (188cm)","6'4"" (193cm)"
kyrie-irving,NBA 2K15,86,Cleveland Cavaliers,"6'2"" (188cm)","6'4"" (193cm)"
kyrie-irving,NBA 2K14,89,Cleveland Cavaliers,"6'2"" (188cm)","6'4"" (193cm)"
kyrie-irving,NBA 2K13,83,Cleveland Cavaliers,"6'2"" (188cm)","6'4"" (193cm)"
kyrie-irving,NBA 2K12,81,Cleveland Cavaliers,"6'2"" (188cm)","6'4"" (193cm)"
kevin-durant,NBA 2K25,93,Phoenix Suns,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K24,96,Phoenix Suns,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K23,96,"Brooklyn Nets, Phoenix Suns","6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K22,96,Brooklyn Nets,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K21,95,Brooklyn Nets,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K20,96,Brooklyn Nets,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K19,97,Golden State Warriors,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K18,96,Golden State Warriors,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K17,93,Golden State Warriors,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K16,91,Oklahoma City Thunder,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K15,95,Oklahoma City Thunder,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K14,94,Oklahoma City Thunder,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K13,94,Oklahoma City Thunder,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K12,92,Oklahoma City Thunder,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K11,91,Oklahoma City Thunder,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K10,82,Oklahoma City Thunder,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K9,83,Oklahoma City Thunder,"6'11"" (211cm)","7'5"" (226cm)"
kevin-durant,NBA 2K8,80,Seattle Supersonics,"6'11"" (211cm)","7'5"" (226cm)"
raiquan-gray,NBA 2K25,69,Free Agent,"6'7"" (201cm)","6'11"" (211cm)"
raiquan-gray,NBA 2K24,69,San Antonio Spurs,"6'7"" (201cm)","6'11"" (211cm)"
