year,rank,name,rating
2010,366,Kyrylo Fesenko,49
2010,367,Jarron Collins,48
2010,368,BJ Mullens,46
2010,369,Brian Scalabrine,44
2010,370,Alexis Ajinca,43
2011,1,LeBron James,98
2011,2,Dwyane Wade,96
2011,3,Kobe Bryant,94
2011,4,Chris Paul,93
2011,4,Dwight Howard,93
2011,6,Derrick Rose,92
2011,6,Kevin Durant,92
2011,8,Carmelo Anthony,91
2011,9,Deron Williams,90
2011,10,Amare Stoudemire,88
2011,10,Russell Westbrook,88
2011,12,Rudy Gay,86
2011,12,Pau Gasol,86
2011,14,Andre Iguodala,85
2011,14,Rajon Rondo,85
2011,14,Blake Griffin,85
2011,14,Dirk Nowitzki,85
2011,14,Manu Ginobili,85
2011,19,Joe Johnson,84
2011,19,Josh Smith,84
2011,19,Tim Duncan,84
2011,19,Steve Nash,84
2011,23,Stephen Jackson,83
2011,23,Kevin Garnett,83
2011,23,Zach Randolph,83
2011,23,Gerald Wallace,83
2011,23,LaMarcus Aldridge,83
2011,23,Monta Ellis,83
2011,29,Joakim Noah,82
2011,29,Paul Pierce,82
2011,29,Eric Gordon,82
2011,29,John Wall,82
2011,33,Al Jefferson,81
2011,33,Caron Butler,81
2011,33,Danny Granger,81
2011,33,Kevin Love,81
2011,37,Ray Allen,80
2011,37,Al Horford,80
2011,37,Chris Bosh,80
2011,37,Paul Millsap,80
2011,37,Tyreke Evans,80
2011,37,Tony Parker,80
2011,37,Grant Hill,80
2011,37,Stephen Curry,80
2011,45,Jrue Holiday,79
2011,45,Chauncey Billups,79
2011,45,Andrew Bynum,79
2011,45,Kevin Martin,79
2011,45,David Lee,79
2011,50,Brandon Jennings,78
2011,50,Andrew Bogut,78
2011,50,Jamal Crawford,78
2011,50,Devin Harris,78
2011,50,Lamar Odom,78
2011,50,Shawn Marion,78
2011,50,Michael Beasley,78
2011,50,Brandon Roy,78
2011,58,Elton Brand,77
2011,58,Luol Deng,77
2011,58,Carlos Boozer,77
2011,58,OJ Mayo,77
2011,58,Shane Battier,77
2011,58,Gilbert Arenas,77
2011,58,Jason Kidd,77
2011,58,Ty Lawson,77
2011,58,Nenê,77
2011,58,Tayshaun Prince,77
2011,58,Luis Scola,77
2011,58,Mike Conley,77
2011,70,Chris Kaman,76
2011,70,Jason Terry,76
2011,70,Brook Lopez,76
2011,70,JR Smith,76
2011,70,Kenyon Martin,76
2011,70,Richard Hamilton,76
2011,70,Kyle Lowry,76
2011,70,Vince Carter,76
2011,78,Darren Collison,75
2011,78,Serge Ibaka,75
2011,78,Raymond Felton,75
2011,81,Louis Williams,74
2011,81,Thaddeus Young,74
2011,81,Corey Maggette,74
2011,81,Antawn Jamison,74
2011,81,David West,74
2011,81,Marcus Thornton,74
2011,81,JJ Hickson,74
2011,81,Jameer Nelson,74
2011,81,Paul George,74
2011,81,Rodney Stuckey,74
2011,81,Ben Gordon,74
2011,81,Nate Robinson,74
2011,81,James Harden,74
2011,81,Nicolas Batum,74
2011,81,Dorell Wright,74
2011,81,Rashard Lewis,74
2011,81,Maurice Williams,74
2011,81,Hidayet Turkoglu,74
2011,99,Tyrus Thomas,73
2011,99,Taj Gibson,73
2011,99,Baron Davis,73
2011,99,Marc Gasol,73
2011,99,Emeka Okafor,73
2011,99,Jason Richardson,73
2011,99,Dahntay Jones,73
2011,99,Marcin Gortat,73
2011,99,Wesley Matthews,73
2011,99,Nick Young,73
2011,109,DJ Augustin,72
2011,109,Ramon Sessions,72
2011,109,Kirk Hinrich,72
2011,109,Trevor Ariza,72
2011,109,Carl Landry,72
2011,109,John Salmons,72
2011,109,Shannon Brown,72
2011,109,George Hill,72
2011,109,Roy Hibbert,72
2011,109,Terrence Williams,72
2011,109,Patrick Patterson,72
2011,109,Richard Jefferson,72
2011,109,Jared Dudley,72
2011,109,Earl Boykins,72
2011,123,Evan Turner,71
2011,123,DeMarcus Cousins,71
2011,123,Landry Fields,71
2011,123,Matt Barnes,71
2011,123,Quentin Richardson,71
2011,123,Andre Miller,71
2011,123,Arron Afflalo,71
2011,123,Tyler Hansbrough,71
2011,123,Leandro Barbosa,71
2011,123,Kendrick Perkins,71
2011,123,Marcus Camby,71
2011,123,Andray Blatche,71
2011,135,Anderson Varejao,70
2011,135,Glen Davis,70
2011,135,Derrick Favors,70
2011,135,Brandon Bass,70
2011,135,DeShawn Stevenson,70
2011,135,Tyson Chandler,70
2011,135,Kris Humphries,70
2011,135,Jason Maxiell,70
2011,135,Jonny Flynn,70
2011,135,Courtney Lee,70
2011,135,Chuck Hayes,70
2011,135,Josh Childress,70
2011,135,Wesley Johnson,70
2011,135,Martell Webster,70
2011,135,Greg Oden,70
2011,135,Maurice Evans,70
2011,135,JaVale McGee,70
2011,152,Gerald Henderson,69
2011,152,Michael Redd,69
2011,152,Ronnie Brewer,69
2011,152,Delonte West,69
2011,152,Al-Farouq Aminu,69
2011,152,Ishmael Smith,69
2011,152,Francisco Garcia,69
2011,152,Toney Douglas,69
2011,152,Rodrigue Beaubois,69
2011,152,Damion James,69
2011,152,TJ Ford,69
2011,152,Will Bynum,69
2011,152,Tracy McGrady,69
2011,152,Ben Wallace,69
2011,152,DeMar DeRozan,69
2011,152,Chase Budinger,69
2011,152,Anthony Randolph,69
2011,152,Josh Howard,69
2011,152,Jose Calderon,69
2011,171,Keith Bogans,68
2011,171,Jermaine O'Neal,68
2011,171,Randy Foye,68
2011,171,Tony Allen,68
2011,171,Sam Young,68
2011,171,Mario Chalmers,68
2011,171,Udonis Haslem,68
2011,171,Raja Bell,68
2011,171,CJ Miles,68
2011,171,Mehmet Okur,68
2011,171,Samuel Dalembert,68
2011,171,Amir Johnson,68
2011,171,Andrea Bargnani,68
2011,171,DeJuan Blair,68
2011,171,Thabo Sefolosha,68
2011,171,Luke Ridnour,68
2011,187,Andres Nocioni,67
2011,187,Marreese Speights,67
2011,187,Keyon Dooling,67
2011,187,Luc Mbah a Moute,67
2011,187,Anthony Parker,67
2011,187,Alonzo Gee,67
2011,187,Willie Green,67
2011,187,Derek Fisher,67
2011,187,Chris Duhon,67
2011,187,Danilo Gallinari,67
2011,187,James Posey,67
2011,187,Charlie Villanueva,67
2011,187,Jordan Hill,67
2011,187,James Anderson,67
2011,187,Ricky Rubio,67
2011,187,Jamario Moon,67
2011,203,Beno Udrih,66
2011,203,Drew Gooden,66
2011,203,Ersan Ilyasova,66
2011,203,Troy Murphy,66
2011,203,Jason Thompson,66
2011,203,Roger Mason,66
2011,203,Corey Brewer,66
2011,203,Travis Outlaw,66
2011,203,Al Harrington,66
2011,203,Ed Davis,66
2011,203,Jordan Crawford,66
2011,203,Trevor Booker,66
2011,215,Dominic McGuire,65
2011,215,Boris Diaw,65
2011,215,Carlos Delfino,65
2011,215,Larry Sanders,65
2011,215,CJ Watson,65
2011,215,Eric Bledsoe,65
2011,215,DeAndre Jordan,65
2011,215,Marvin Williams,65
2011,215,Mike Miller,65
2011,215,Jarrett Jack,65
2011,215,Derrick Brown,65
2011,215,Jose Juan Barea,65
2011,215,Rudy Fernandez,65
2011,215,Brendan Haywood,65
2011,215,Gary Forbes,65
2011,215,Chris Andersen,65
2011,215,Brandon Rush,65
2011,215,Greg Monroe,65
2011,215,Jerryd Bayless,65
2011,215,Gary Neal,65
2011,215,Antonio McDyess,65
2011,236,Manny Harris,64
2011,236,Xavier Henry,64
2011,236,Marco Belinelli,64
2011,236,Renaldo Balkman,64
2011,236,Steve Blake,64
2011,236,JJ Redick,64
2011,236,Earl Clark,64
2011,236,Anthony Morrow,64
2011,236,Josh McRoberts,64
2011,236,Channing Frye,64
2011,236,Eric Maynor,64
2011,236,Charlie Bell,64
2011,236,Reggie Williams,64
2011,236,Jerry Stackhouse,64
2011,236,Ekpe Udoh,64
2011,251,Joel Przybilla,63
2011,251,Kurt Thomas,63
2011,251,Jeff Teague,63
2011,251,Earl Watson,63
2011,251,Gordon Hayward,63
2011,251,Luke Walton,63
2011,251,Devin Ebanks,63
2011,251,Ryan Anderson,63
2011,251,Dominique Jones,63
2011,251,Jordan Farmar,63
2011,251,Goran Dragic,63
2011,251,Robin Lopez,63
2011,251,Sebastian Telfair,63
2011,251,Elliot Williams,63
2011,251,Yi Jianlian,63
2011,266,Jodie Meeks,62
2011,266,Kyle Korver,62
2011,266,Ryan Gomes,62
2011,266,Ronnie Price,62
2011,266,Ronny Turiaf,62
2011,266,Mike Dunleavy,62
2011,266,Jeff Foster,62
2011,266,Linas Kleiza,62
2011,266,James Johnson,62
2011,266,Tiago Splitter,62
2011,266,Hakim Warrick,62
2011,266,Nick Collison,62
2011,266,Darko Milicic,62
2011,266,Marquis Daniels,62
2011,266,Danny Green,62
2011,266,Patrick Mills,62
2011,282,DJ White,61
2011,282,Jannero Pargo,61
2011,282,Daniel Gibson,61
2011,282,Omri Casspi,61
2011,282,Samardo Samuels,61
2011,282,Avery Bradley,61
2011,282,Damien Wilkins,61
2011,282,Eddie House,61
2011,282,Shawne Williams,61
2011,282,Chris Wilcox,61
2011,282,Jonas Jerebko,61
2011,282,Daequan Cook,61
2011,282,Andris Biedrins,61
2011,295,Dante Cunningham,60
2011,295,Christian Eyenga,60
2011,295,Zaza Pachulia,60
2011,295,Mike Bibby,60
2011,295,Donte Greene,60
2011,295,Derrick Caracter,60
2011,295,Sundiata Gaines,60
2011,295,Reggie Evans,60
2011,295,Wayne Ellington,60
2011,295,Anthony Tolliver,60
2011,295,Armon Johnson,60
2011,295,Louis Amundson,60
2011,307,Craig Brackins,59
2011,307,Spencer Hawes,59
2011,307,Kwame Brown,59
2011,307,Von Wafer,59
2011,307,Shelden Williams,59
2011,307,Brandan Wright,59
2011,307,Austin Daye,59
2011,307,Luke Babbitt,59
2011,307,Bobby Simmons,59
2011,316,Shaun Livingston,58
2011,316,Rasual Butler,58
2011,316,Craig Smith,58
2011,316,James Jones,58
2011,316,Quincy Pondexter,58
2011,316,Jared Jeffries,58
2011,316,Lance Stephenson,58
2011,316,Nazr Mohammed,58
2011,316,Lazar Hayward,58
2011,316,Brad Miller,58
2011,316,DeMarre Carroll,58
2011,327,Semih Erden,57
2011,327,Ben Uzoh,57
2011,327,Timofey Mozgov,57
2011,327,Jeff Adrien,57
2011,331,Jeremy Evans,56
2011,331,Andy Rautins,56
2011,331,DaJuan Summers,56
2011,331,Nikola Pekovic,56
2011,331,Jeremy Lin,56
2011,336,Matt Carroll,55
2011,336,Eduardo Najera,55
2011,336,Omer Asik,55
2011,336,Greivis Vasquez,55
2011,336,Joel Anthony,55
2011,336,Erick Dampier,55
2011,336,Jason Smith,55
2011,336,Francisco Elson,55
2011,336,Kevin Seraphin,55
2011,336,Aleksandar Pavlovic,55
2011,346,Ike Diogu,54
2011,346,Juwan Howard,54
2011,346,Aaron Gray,54
2011,346,Cole Aldrich,54
2011,350,Jason Kapono,53
2011,350,Ryan Hollins,53
2011,350,Anthony Carter,53
2011,350,Vladimir Radmanovic,53
2011,354,DeSagana Diop,52
2011,354,Jon Brockman,52
2011,354,Johan Petro,52
2011,354,Kosta Koufos,52
2011,354,AJ Price,52
2011,354,Garret Siler,52
2011,360,Luke Harangody,51
2011,360,Brian Cardinal,51
2011,360,Solomon Alabi,51
2011,360,Hasheem Thabeet,51
2011,360,Royal Ivey,51
2011,360,Hamady N'Diaye,51
2011,360,Brian Skinner,51
2011,367,John Lucas,50
2011,367,Brian Cook,50
2011,367,Jamaal Magloire,50
2011,367,Daniel Orton,50
2011,367,Matt Bonner,50
2011,372,Hassan Whiteside,49
2011,373,Hamed Haddadi,48
2011,373,Solomon Jones,48
2011,375,Tony Battie,47
2011,375,Earl Barron,47
2011,377,Ian Mahinmi,46
2011,378,Jason Collins,45
2011,379,Dexter Pittman,44
2011,380,Steve Novak,43
2011,381,Brian Scalabrine,40
2011,381,BJ Mullens,40
2012,1,LeBron James,98
2012,2,Dwight Howard,96
2012,3,Chris Paul,94
2012,3,Kevin Durant,94
2012,5,Russell Westbrook,93
2012,5,Dwyane Wade,93
2012,5,Kobe Bryant,93
2012,8,Derrick Rose,92
2012,8,Carmelo Anthony,92
2012,10,Deron Williams,90
2012,10,Rajon Rondo,90
2012,12,Kevin Love,89
2012,13,Steve Nash,87
2012,13,Manu Ginobili,87
2012,13,Andre Iguodala,87
2012,13,Rudy Gay,87
2012,13,Pau Gasol,87
2012,13,Josh Smith,87
2012,13,Tim Duncan,87
2012,20,Tony Parker,86
2012,20,Monta Ellis,86
2012,20,Blake Griffin,86
2012,20,LaMarcus Aldridge,86
2012,20,Andrew Bynum,86
2012,25,Joe Johnson,85
2012,25,Eric Gordon,85
2012,25,Dirk Nowitzki,85
2012,28,Danny Granger,84
2012,28,Kevin Garnett,84
2012,28,Zach Randolph,84
2012,28,Amare Stoudemire,84
2012,28,Al Jefferson,84
2012,33,Kyrie Irving,83
2012,33,Kyle Lowry,83
2012,33,John Wall,83
2012,33,Luol Deng,83
2012,33,Paul Millsap,83
2012,33,Marc Gasol,83
2012,33,Joakim Noah,83
2012,40,Stephen Curry,82
2012,40,Ty Lawson,82
2012,40,Chauncey Billups,82
2012,40,Jrue Holiday,82
2012,40,Paul Pierce,82
2012,40,Chris Bosh,82
2012,40,David Lee,82
2012,40,Al Horford,82
2012,40,DeMarcus Cousins,82
2012,49,James Harden,81
2012,49,Kevin Martin,81
2012,49,Tyreke Evans,81
2012,49,Gerald Wallace,81
2012,49,Caron Butler,81
2012,54,Jason Kidd,80
2012,54,Brandon Jennings,80
2012,54,Rodney Stuckey,80
2012,54,Iman Shumpert,80
2012,54,Brandon Roy,80
2012,54,Wilson Chandler,80
2012,54,Serge Ibaka,80
2012,54,Brook Lopez,80
2012,54,Greg Monroe,80
2012,54,Marcin Gortat,80
2012,54,Mike Conley,80
2012,65,Jarrett Jack,79
2012,65,Ray Allen,79
2012,65,Louis Williams,79
2012,65,Arron Afflalo,79
2012,65,Avery Bradley,79
2012,65,Vince Carter,79
2012,65,Shawn Marion,79
2012,65,Nicolas Batum,79
2012,65,Michael Beasley,79
2012,65,Luis Scola,79
2012,65,Roy Hibbert,79
2012,65,Andrew Bogut,79
2012,65,Anthony Davis,79
2012,65,Nenê,79
2012,79,Ricky Rubio,78
2012,79,Maurice Williams,78
2012,79,Kemba Walker,78
2012,79,Paul George,78
2012,79,Jamal Crawford,78
2012,79,Stephen Jackson,78
2012,79,Jeff Green,78
2012,79,Carlos Boozer,78
2012,79,Emeka Okafor,78
2012,88,Jeremy Lin,77
2012,88,Goran Dragic,77
2012,88,Darren Collison,77
2012,88,Nate Robinson,77
2012,88,Aaron Brooks,77
2012,88,Gilbert Arenas,77
2012,88,Jason Terry,77
2012,88,Wesley Matthews,77
2012,88,OJ Mayo,77
2012,88,Shannon Brown,77
2012,88,Michael Kidd-Gilchrist,77
2012,88,Grant Hill,77
2012,88,Elton Brand,77
2012,88,Taj Gibson,77
2012,88,Antawn Jamison,77
2012,88,Tyson Chandler,77
2012,104,Devin Harris,76
2012,104,Ramon Sessions,76
2012,104,Delonte West,76
2012,104,Trevor Ariza,76
2012,104,Kawhi Leonard,76
2012,104,Terrence Williams,76
2012,104,Kenneth Faried,76
2012,104,Kenyon Martin,76
2012,104,Nikola Pekovic,76
2012,104,Chris Kaman,76
2012,114,Isaiah Thomas,75
2012,114,Jeff Teague,75
2012,114,Mario Chalmers,75
2012,114,Jameer Nelson,75
2012,114,Andre Miller,75
2012,114,Marcus Thornton,75
2012,114,DeMar DeRozan,75
2012,114,JR Smith,75
2012,114,Ben Gordon,75
2012,114,Leandro Barbosa,75
2012,114,Jordan Crawford,75
2012,114,Bradley Beal,75
2012,114,Evan Turner,75
2012,114,Tayshaun Prince,75
2012,114,Jared Dudley,75
2012,114,Shane Battier,75
2012,114,Gerald Green,75
2012,114,Harrison Barnes,75
2012,114,Ersan Ilyasova,75
2012,114,Andrea Bargnani,75
2012,114,David West,75
2012,114,Thaddeus Young,75
2012,114,Thomas Robinson,75
2012,114,Carl Landry,75
2012,114,Jose Calderon,75
2012,139,DJ Augustin,74
2012,139,Kirk Hinrich,74
2012,139,George Hill,74
2012,139,Raymond Felton,74
2012,139,Baron Davis,74
2012,139,Jason Richardson,74
2012,139,Tony Allen,74
2012,139,Ronnie Brewer,74
2012,139,Andrei Kirilenko,74
2012,139,Chandler Parsons,74
2012,139,Corey Maggette,74
2012,139,Richard Jefferson,74
2012,139,Kris Humphries,74
2012,139,Derrick Favors,74
2012,139,JJ Hickson,74
2012,139,JaVale McGee,74
2012,139,Samuel Dalembert,74
2012,156,Brandon Knight,73
2012,156,MarShon Brooks,73
2012,156,Richard Hamilton,73
2012,156,Dahntay Jones,73
